well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
1,1,1.3333333333333333,1.0,1.3743685418725535,0.0,4.0,8,0.6666666666666666,6
1,2,22.833333333333332,2.0,30.623611079615607,0.0,70.0,137,0.8333333333333334,6
1,3,1.0,0.0,1.5275252316519468,0.0,4.0,6,0.3333333333333333,6
1,4,68.0,53.5,33.17127271199182,36.0,114.0,408,1.0,6
1,5,0.8333333333333334,1.0,0.37267799624996495,0.0,1.0,5,0.8333333333333334,6
1,6,1.0,0.5,1.4142135623730951,0.0,4.0,6,0.5,6
1,7,3.6666666666666665,1.0,4.384315479321969,0.0,12.0,22,0.8333333333333334,6
1,8,1.6666666666666667,1.5,1.247219128924647,0.0,4.0,10,0.8333333333333334,6
1,9,6.166666666666667,2.5,8.153049872423338,1.0,24.0,37,1.0,6
1,10,1.5,1.0,1.118033988749895,0.0,3.0,9,0.8333333333333334,6
1,11,1.5,1.5,1.2583057392117916,0.0,3.0,9,0.6666666666666666,6
1,12,1.0,0.5,1.1547005383792515,0.0,3.0,6,0.5,6
1,13,1.3333333333333333,1.0,1.3743685418725538,0.0,4.0,8,0.6666666666666666,6
1,14,1.6666666666666667,1.5,1.1055415967851334,0.0,3.0,10,0.8333333333333334,6
1,15,2.0,1.5,1.1547005383792515,1.0,4.0,12,1.0,6
1,16,2.0,2.0,1.0,1.0,4.0,12,1.0,6
2,1,1.6666666666666667,2.0,1.247219128924647,0.0,3.0,10,0.6666666666666666,6
2,2,4.666666666666667,2.0,7.386173268720111,0.0,21.0,28,0.6666666666666666,6
2,3,1.6666666666666667,1.0,1.1055415967851332,1.0,4.0,10,1.0,6
2,4,1.5,1.0,1.2583057392117916,0.0,4.0,9,0.8333333333333334,6
2,5,36.833333333333336,16.5,43.88400113430355,2.0,126.0,221,1.0,6
2,6,1.0,1.0,1.0,0.0,3.0,6,0.6666666666666666,6
2,7,1.5,1.0,0.7637626158259734,1.0,3.0,9,1.0,6
2,8,4.166666666666667,3.5,2.91070819942883,1.0,10.0,25,1.0,6
2,9,20.833333333333332,1.0,43.91057832560269,0.0,119.0,125,0.8333333333333334,6
2,10,1.8333333333333333,2.0,1.2133516482134197,0.0,3.0,11,0.8333333333333334,6
2,11,0.8333333333333334,1.0,0.6871842709362768,0.0,2.0,5,0.6666666666666666,6
2,12,1.1666666666666667,1.5,0.8975274678557508,0.0,2.0,7,0.6666666666666666,6
2,13,1.8333333333333333,1.5,1.5723301886761007,0.0,5.0,11,0.8333333333333334,6
2,14,2.8333333333333335,2.5,1.7716909687891083,1.0,6.0,17,1.0,6
2,15,1.3333333333333333,1.0,0.7453559924999299,1.0,3.0,8,1.0,6
2,16,1.8333333333333333,2.0,1.2133516482134201,0.0,4.0,11,0.8333333333333334,6
3,1,1.8333333333333333,2.0,1.0671873729054748,0.0,3.0,11,0.8333333333333334,6
3,2,1.1666666666666667,1.0,1.0671873729054748,0.0,3.0,7,0.6666666666666666,6
3,3,3.3333333333333335,2.0,3.1972210155418126,1.0,10.0,20,1.0,6
3,4,1.5,1.5,0.9574271077563381,0.0,3.0,9,0.8333333333333334,6
3,5,1.8333333333333333,2.5,1.3437096247164249,0.0,3.0,11,0.6666666666666666,6
3,6,25.5,4.5,32.66369034060094,1.0,83.0,153,1.0,6
3,7,1.8333333333333333,1.5,1.7716909687891083,0.0,5.0,11,0.6666666666666666,6
3,8,1.3333333333333333,1.0,1.3743685418725538,0.0,4.0,8,0.6666666666666666,6
3,9,3.1666666666666665,2.5,2.9107081994288304,0.0,9.0,19,0.8333333333333334,6
3,10,8.0,6.0,6.904105059069326,1.0,21.0,48,1.0,6
3,11,9.666666666666666,3.5,15.140086598901018,0.0,43.0,58,0.8333333333333334,6
3,12,0.8333333333333334,0.5,0.8975274678557507,0.0,2.0,5,0.5,6
3,13,1.1666666666666667,0.5,1.3437096247164249,0.0,3.0,7,0.5,6
3,14,0.6666666666666666,0.5,0.74535599249993,0.0,2.0,4,0.5,6
3,15,1.6666666666666667,2.0,0.9428090415820634,0.0,3.0,10,0.8333333333333334,6
3,16,1.6666666666666667,1.5,1.247219128924647,0.0,4.0,10,0.8333333333333334,6
4,1,1.5,1.5,0.9574271077563381,0.0,3.0,9,0.8333333333333334,6
4,2,2.0,1.5,1.632993161855452,0.0,5.0,12,0.8333333333333334,6
4,3,2.1666666666666665,2.5,0.8975274678557507,1.0,3.0,13,1.0,6
4,4,1.1666666666666667,1.0,0.3726779962499649,1.0,2.0,7,1.0,6
4,5,1.6666666666666667,1.0,1.1055415967851332,1.0,4.0,10,1.0,6
4,6,2.5,2.0,1.118033988749895,1.0,4.0,15,1.0,6
4,7,1.6666666666666667,1.5,1.4907119849998596,0.0,4.0,10,0.6666666666666666,6
4,8,0.6666666666666666,0.5,0.74535599249993,0.0,2.0,4,0.5,6
4,9,1.6666666666666667,1.5,0.7453559924999299,1.0,3.0,10,1.0,6
