well,electrode,total_measurements,inactive_count,fraction_inactive,inactive_measurements,always_inactive
1,1,6,2,0.3333333333333333,"2,4",0
1,2,6,1,0.16666666666666666,4,0
1,3,6,4,0.6666666666666666,"2,3,5,6",0
1,4,6,0,0.0,,0
1,5,6,1,0.16666666666666666,6,0
1,6,6,3,0.5,"2,4,6",0
1,7,6,1,0.16666666666666666,4,0
1,8,6,1,0.16666666666666666,1,0
1,9,6,0,0.0,,0
1,10,6,1,0.16666666666666666,1,0
1,11,6,2,0.3333333333333333,"4,6",0
1,12,6,3,0.5,"1,2,4",0
1,13,6,2,0.3333333333333333,"1,6",0
1,14,6,1,0.16666666666666666,3,0
1,15,6,0,0.0,,0
1,16,6,0,0.0,,0
2,1,6,2,0.3333333333333333,"1,3",0
2,2,6,2,0.3333333333333333,"4,6",0
2,3,6,0,0.0,,0
2,4,6,1,0.16666666666666666,6,0
2,5,6,0,0.0,,0
2,6,6,2,0.3333333333333333,"3,6",0
2,7,6,0,0.0,,0
2,8,6,0,0.0,,0
2,9,6,1,0.16666666666666666,3,0
2,10,6,1,0.16666666666666666,4,0
2,11,6,2,0.3333333333333333,"1,2",0
2,12,6,2,0.3333333333333333,"2,3",0
2,13,6,1,0.16666666666666666,5,0
2,14,6,0,0.0,,0
2,15,6,0,0.0,,0
2,16,6,1,0.16666666666666666,1,0
3,1,6,1,0.16666666666666666,4,0
3,2,6,2,0.3333333333333333,"2,4",0
3,3,6,0,0.0,,0
3,4,6,1,0.16666666666666666,4,0
3,5,6,2,0.3333333333333333,"1,4",0
3,6,6,0,0.0,,0
3,7,6,2,0.3333333333333333,"4,6",0
3,8,6,2,0.3333333333333333,"2,6",0
3,9,6,1,0.16666666666666666,4,0
3,10,6,0,0.0,,0
3,11,6,1,0.16666666666666666,4,0
3,12,6,3,0.5,"1,4,5",0
3,13,6,3,0.5,"1,2,3",0
3,14,6,3,0.5,"1,3,4",0
3,15,6,1,0.16666666666666666,6,0
3,16,6,1,0.16666666666666666,2,0
4,1,6,1,0.16666666666666666,3,0
4,2,6,1,0.16666666666666666,3,0
4,3,6,0,0.0,,0
4,4,6,0,0.0,,0
4,5,6,0,0.0,,0
4,6,6,0,0.0,,0
4,7,6,2,0.3333333333333333,"2,6",0
4,8,6,3,0.5,"2,3,6",0
4,9,6,0,0.0,,0
4,10,6,2,0.3333333333333333,"1,3",0
4,11,6,2,0.3333333333333333,"4,5",0
4,12,6,3,0.5,"3,4,6",0
4,13,6,1,0.16666666666666666,4,0
4,14,6,1,0.16666666666666666,4,0
4,15,6,2,0.3333333333333333,"3,4",0
4,16,6,1,0.16666666666666666,6,0
5,1,6,2,0.3333333333333333,"2,3",0
5,2,6,2,0.3333333333333333,"1,4",0
5,3,6,1,0.16666666666666666,2,0
5,4,6,0,0.0,,0
5,5,6,1,0.16666666666666666,3,0
5,6,6,0,0.0,,0
5,7,6,1,0.16666666666666666,2,0
5,8,6,0,0.0,,0
5,9,6,3,0.5,"1,3,5",0
5,10,6,1,0.16666666666666666,5,0
5,11,6,0,0.0,,0
5,12,6,3,0.5,"1,3,6",0
5,13,6,2,0.3333333333333333,"1,6",0
5,14,6,0,0.0,,0
5,15,6,2,0.3333333333333333,"1,4",0
5,16,6,0,0.0,,0
6,1,6,3,0.5,"1,2,3",0
