well,electrode,n_measurements,spikes_n_nonzero,spikes_fraction_zero,spikes_total,spikes_mean,spikes_median,spikes_std,spikes_min,spikes_max
1,1,6,4,0.3333333333333333,8.0,1.3333333333333333,1.0,1.505545305418162,1.0,4.0
1,2,6,5,0.16666666666666666,137.0,22.833333333333332,2.0,33.5464851611412,1.0,70.0
1,3,6,2,0.6666666666666666,6.0,1.0,0.0,1.6733200530681511,2.0,4.0
1,4,6,6,0.0,408.0,68.0,53.5,36.33730865102698,36.0,114.0
1,5,6,5,0.16666666666666666,5.0,0.8333333333333334,1.0,0.408248290463863,1.0,1.0
1,6,6,3,0.5,6.0,1.0,0.5,1.5491933384829668,1.0,4.0
1,7,6,5,0.16666666666666666,22.0,3.6666666666666665,1.0,4.802776974487434,1.0,12.0
1,8,6,5,0.16666666666666666,10.0,1.6666666666666667,1.5,1.3662601021279464,1.0,4.0
1,9,6,6,0.0,37.0,6.166666666666667,2.5,8.931218655181759,1.0,24.0
1,10,6,5,0.16666666666666666,9.0,1.5,1.0,1.224744871391589,1.0,3.0
1,11,6,4,0.3333333333333333,9.0,1.5,1.5,1.378404875209022,1.0,3.0
1,12,6,3,0.5,6.0,1.0,0.5,1.2649110640673518,1.0,3.0
1,13,6,4,0.3333333333333333,8.0,1.3333333333333333,1.0,1.5055453054181622,1.0,4.0
1,14,6,5,0.16666666666666666,10.0,1.6666666666666667,1.5,1.2110601416389968,1.0,3.0
1,15,6,6,0.0,12.0,2.0,1.5,1.2649110640673518,1.0,4.0
1,16,6,6,0.0,12.0,2.0,2.0,1.0954451150103321,1.0,4.0
2,1,6,4,0.3333333333333333,10.0,1.6666666666666667,2.0,1.3662601021279464,2.0,3.0
2,2,6,4,0.3333333333333333,28.0,4.666666666666667,2.0,8.091147425839344,2.0,21.0
2,3,6,6,0.0,10.0,1.6666666666666667,1.0,1.2110601416389966,1.0,4.0
2,4,6,5,0.16666666666666666,9.0,1.5,1.0,1.378404875209022,1.0,4.0
2,5,6,6,0.0,221.0,36.833333333333336,16.5,48.07251466968071,2.0,126.0
2,6,6,4,0.3333333333333333,6.0,1.0,1.0,1.0954451150103321,1.0,3.0
2,7,6,6,0.0,9.0,1.5,1.0,0.8366600265340756,1.0,3.0
2,8,6,6,0.0,25.0,4.166666666666667,3.5,3.1885210782848317,1.0,10.0
2,9,6,5,0.16666666666666666,125.0,20.833333333333332,1.0,48.10162852406005,1.0,119.0
2,10,6,5,0.16666666666666666,11.0,1.8333333333333333,2.0,1.3291601358251257,1.0,3.0
2,11,6,4,0.3333333333333333,5.0,0.8333333333333334,1.0,0.752772652709081,1.0,2.0
