well,electrode,1,2,3,4,5,6
1,1,1,0,1,0,4,2
1,2,1,3,1,0,62,70
1,3,4,0,0,2,0,0
1,4,114,39,42,112,65,36
1,5,1,1,1,1,1,0
1,6,1,0,1,0,4,0
1,7,12,7,1,0,1,1
1,8,0,2,1,1,4,2
1,9,1,3,24,1,6,2
1,10,0,1,1,1,3,3
1,11,1,2,3,0,3,0
1,12,0,0,3,0,1,2
1,13,0,1,1,2,4,0
1,14,2,1,0,3,3,1
1,15,3,1,1,4,2,1
1,16,1,2,2,2,4,1
2,1,0,2,0,3,2,3
2,2,21,2,3,0,2,0
2,3,1,4,2,1,1,1
2,4,1,2,1,1,4,0
2,5,19,14,126,57,3,2
2,6,1,1,0,3,1,0
2,7,3,1,1,1,1,2
2,8,5,2,3,10,4,1
2,9,1,1,0,1,3,119
2,10,3,3,1,0,3,1
2,11,0,0,1,1,2,1
2,12,2,0,0,1,2,2
2,13,1,5,2,2,0,1
2,14,1,1,2,4,6,3
2,15,1,1,1,1,3,1
2,16,0,4,2,2,1,2
3,1,1,3,3,0,2,2
3,2,1,0,3,0,2,1
3,3,10,4,1,1,3,1
3,4,1,2,3,0,2,1
3,5,0,3,3,0,3,2
3,6,3,2,1,6,58,83
3,7,1,3,2,0,5,0
3,8,1,0,2,1,4,0
3,9,1,4,2,0,3,9
3,10,12,8,21,4,2,1
3,11,43,6,7,0,1,1
3,12,0,1,2,0,0,2
3,13,0,0,0,1,3,3
3,14,0,1,0,0,1,2
3,15,2,2,2,3,1,0
3,16,1,0,4,1,2,2
4,1,2,3,0,2,1,1
4,2,1,5,0,2,3,1
4,3,3,2,1,3,3,1
4,4,1,1,1,1,1,2
4,5,4,2,1,1,1,1
4,6,2,2,1,2,4,4
4,7,1,0,4,2,3,0
4,8,2,0,0,1,1,0
4,9,1,2,1,1,3,2
4,10,0,2,0,1,2,3
4,11,1,1,1,0,0,2
4,12,2,2,0,0,5,0
4,13,2,2,1,0,2,2
4,14,1,2,2,0,1,1
4,15,1,2,0,0,2,1
4,16,3,4,1,1,3,0
5,1,1,0,0,1,1,1
5,2,0,1,1,0,1,2
5,3,1,0,1,1,1,2
5,4,2,2,2,1,5,1
5,5,3,1,0,2,1,4
5,6,2,4,2,1,4,2
5,7,2,0,1,1,1,3
5,8,1,1,2,1,3,1
5,9,0,3,0,1,0,2
5,10,3,2,2,2,0,2
5,11,1,1,3,1,1,2
