well,1,2,3,4,5,6
1,142,63,83,129,167,121
2,60,43,145,88,38,139
3,77,39,56,17,92,110
4,27,32,14,17,35,21
5,19,28,23,18,32,25
6,15,18,22,23,41,35
7,63,69,112,117,131,50
8,22,22,25,25,62,22
9,31,30,21,30,61,36
10,23,28,20,19,31,29
11,29,18,20,20,34,23
12,22,24,14,24,33,15
13,49,33,37,34,65,18
14,27,17,132,59,684,243
15,45,98,22,16,40,23
16,202,91,64,305,1686,872
17,87,69,426,268,1667,1065
18,166,196,364,608,2516,1665
19,20,24,46,28,47,21
20,29,21,20,17,52,17
21,25,23,11,21,635,767
22,422,369,501,266,4350,1302
23,86,388,251,368,2024,1655
24,145,136,237,237,1487,723
