id,date,well,n_electrodes_inactive,n_electrodes_present,n_electrodes_total,fraction_inactive_in_well
1,2024-04-09,1,4,16,16,0.25
1,2024-04-09,2,3,16,16,0.1875
1,2024-04-09,3,4,16,16,0.25
1,2024-04-09,4,1,16,16,0.0625
1,2024-04-09,5,5,16,16,0.3125
1,2024-04-09,6,5,16,16,0.3125
1,2024-04-09,7,2,16,16,0.125
1,2024-04-09,8,4,16,16,0.25
1,2024-04-09,9,6,16,16,0.375
1,2024-04-09,10,3,16,16,0.1875
1,2024-04-09,11,2,16,16,0.125
1,2024-04-09,12,3,16,16,0.1875
1,2024-04-09,13,4,16,16,0.25
1,2024-04-09,14,4,16,16,0.25
1,2024-04-09,15,5,16,16,0.3125
1,2024-04-09,16,1,16,16,0.0625
1,2024-04-09,17,3,16,16,0.1875
1,2024-04-09,18,5,16,16,0.3125
1,2024-04-09,19,7,16,16,0.4375
1,2024-04-09,20,3,16,16,0.1875
1,2024-04-09,21,2,16,16,0.125
1,2024-04-09,22,1,16,16,0.0625
1,2024-04-09,23,0,16,16,0.0
1,2024-04-09,24,5,16,16,0.3125
2,2024-04-10,1,4,16,16,0.25
2,2024-04-10,2,2,16,16,0.125
2,2024-04-10,3,4,16,16,0.25
2,2024-04-10,4,2,16,16,0.125
2,2024-04-10,5,3,16,16,0.1875
2,2024-04-10,6,6,16,16,0.375
2,2024-04-10,7,3,16,16,0.1875
2,2024-04-10,8,3,16,16,0.1875
2,2024-04-10,9,3,16,16,0.1875
2,2024-04-10,10,3,16,16,0.1875
2,2024-04-10,11,6,16,16,0.375
2,2024-04-10,12,3,16,16,0.1875
2,2024-04-10,13,3,16,16,0.1875
2,2024-04-10,14,4,16,16,0.25
2,2024-04-10,15,1,16,16,0.0625
2,2024-04-10,16,2,16,16,0.125
2,2024-04-10,17,4,16,16,0.25
2,2024-04-10,18,4,16,16,0.25
2,2024-04-10,19,4,16,16,0.25
2,2024-04-10,20,7,16,16,0.4375
2,2024-04-10,21,4,16,16,0.25
2,2024-04-10,22,1,16,16,0.0625
2,2024-04-10,23,3,16,16,0.1875
2,2024-04-10,24,1,16,16,0.0625
3,2024-04-11,1,2,16,16,0.125
3,2024-04-11,2,4,16,16,0.25
3,2024-04-11,3,2,16,16,0.125
3,2024-04-11,4,6,16,16,0.375
3,2024-04-11,5,4,16,16,0.25
3,2024-04-11,6,2,16,16,0.125
3,2024-04-11,7,4,16,16,0.25
3,2024-04-11,8,4,16,16,0.25
3,2024-04-11,9,5,16,16,0.3125
3,2024-04-11,10,5,16,16,0.3125
3,2024-04-11,11,5,16,16,0.3125
3,2024-04-11,12,5,16,16,0.3125
3,2024-04-11,13,8,16,16,0.5
3,2024-04-11,14,4,16,16,0.25
3,2024-04-11,15,5,16,16,0.3125
3,2024-04-11,16,3,16,16,0.1875
3,2024-04-11,17,0,16,16,0.0
3,2024-04-11,18,5,16,16,0.3125
