well,row_major_row,row_major_col,row_major_label,column_major_row,column_major_col,column_major_label
1,1,1,A1,1,1,A1
2,1,2,A2,2,1,B1
3,1,3,A3,3,1,C1
4,1,4,A4,4,1,D1
5,1,5,A5,1,2,A2
6,1,6,A6,2,2,B2
7,2,1,B1,3,2,C2
8,2,2,B2,4,2,D2
9,2,3,B3,1,3,A3
10,2,4,B4,2,3,B3
11,2,5,B5,3,3,C3
12,2,6,B6,4,3,D3
13,3,1,C1,1,4,A4
14,3,2,C2,2,4,B4
15,3,3,C3,3,4,C4
16,3,4,C4,4,4,D4
17,3,5,C5,1,5,A5
18,3,6,C6,2,5,B5
19,4,1,D1,3,5,C5
20,4,2,D2,4,5,D5
21,4,3,D3,1,6,A6
22,4,4,D4,2,6,B6
23,4,5,D5,3,6,C6
24,4,6,D6,4,6,D6
