id,date,well,electrode,Spikes,Bursts,present_in_file,is_active
1,2024-04-09,1,1,1,0,True,True
1,2024-04-09,1,2,1,0,True,True
1,2024-04-09,1,3,4,0,True,True
1,2024-04-09,1,4,114,1,True,True
1,2024-04-09,1,5,1,0,True,True
1,2024-04-09,1,6,1,0,True,True
1,2024-04-09,1,7,12,0,True,True
1,2024-04-09,1,8,0,0,True,False
1,2024-04-09,1,9,1,0,True,True
1,2024-04-09,1,10,0,0,True,False
1,2024-04-09,1,11,1,0,True,True
1,2024-04-09,1,12,0,0,True,False
1,2024-04-09,1,13,0,0,True,False
1,2024-04-09,1,14,2,0,True,True
1,2024-04-09,1,15,3,0,True,True
1,2024-04-09,1,16,1,0,True,True
1,2024-04-09,2,1,0,0,True,False
1,2024-04-09,2,2,21,0,True,True
1,2024-04-09,2,3,1,0,True,True
1,2024-04-09,2,4,1,0,True,True
1,2024-04-09,2,5,19,0,True,True
1,2024-04-09,2,6,1,0,True,True
1,2024-04-09,2,7,3,0,True,True
1,2024-04-09,2,8,5,0,True,True
1,2024-04-09,2,9,1,0,True,True
1,2024-04-09,2,10,3,0,True,True
1,2024-04-09,2,11,0,0,True,False
1,2024-04-09,2,12,2,0,True,True
1,2024-04-09,2,13,1,0,True,True
1,2024-04-09,2,14,1,0,True,True
1,2024-04-09,2,15,1,0,True,True
1,2024-04-09,2,16,0,0,True,False
1,2024-04-09,3,1,1,0,True,True
1,2024-04-09,3,2,1,0,True,True
1,2024-04-09,3,3,10,0,True,True
1,2024-04-09,3,4,1,0,True,True
1,2024-04-09,3,5,0,0,True,False
1,2024-04-09,3,6,3,0,True,True
1,2024-04-09,3,7,1,0,True,True
1,2024-04-09,3,8,1,0,True,True
1,2024-04-09,3,9,1,0,True,True
1,2024-04-09,3,10,12,0,True,True
1,2024-04-09,3,11,43,1,True,True
1,2024-04-09,3,12,0,0,True,False
1,2024-04-09,3,13,0,0,True,False
1,2024-04-09,3,14,0,0,True,False
1,2024-04-09,3,15,2,0,True,True
1,2024-04-09,3,16,1,0,True,True
1,2024-04-09,4,1,2,0,True,True
1,2024-04-09,4,2,1,0,True,True
1,2024-04-09,4,3,3,0,True,True
1,2024-04-09,4,4,1,0,True,True
1,2024-04-09,4,5,4,0,True,True
1,2024-04-09,4,6,2,0,True,True
1,2024-04-09,4,7,1,0,True,True
1,2024-04-09,4,8,2,0,True,True
1,2024-04-09,4,9,1,0,True,True
1,2024-04-09,4,10,0,0,True,False
1,2024-04-09,4,11,1,0,True,True
1,2024-04-09,4,12,2,0,True,True
1,2024-04-09,4,13,2,0,True,True
1,2024-04-09,4,14,1,0,True,True
1,2024-04-09,4,15,1,0,True,True
1,2024-04-09,4,16,3,0,True,True
1,2024-04-09,5,1,1,0,True,True
1,2024-04-09,5,2,0,0,True,False
1,2024-04-09,5,3,1,0,True,True
1,2024-04-09,5,4,2,0,True,True
1,2024-04-09,5,5,3,0,True,True
1,2024-04-09,5,6,2,0,True,True
1,2024-04-09,5,7,2,0,True,True
1,2024-04-09,5,8,1,0,True,True
1,2024-04-09,5,9,0,0,True,False
1,2024-04-09,5,10,3,0,True,True
1,2024-04-09,5,11,1,0,True,True
1,2024-04-09,5,12,0,0,True,False
1,2024-04-09,5,13,0,0,True,False
1,2024-04-09,5,14,2,0,True,True
1,2024-04-09,5,15,0,0,True,False
1,2024-04-09,5,16,1,0,True,True
1,2024-04-09,6,1,0,0,True,False
1,2024-04-09,6,2,1,0,True,True
1,2024-04-09,6,3,0,0,True,False
1,2024-04-09,6,4,1,0,True,True
1,2024-04-09,6,5,1,0,True,True
1,2024-04-09,6,6,3,0,True,True
1,2024-04-09,6,7,1,0,True,True
1,2024-04-09,6,8,2,0,True,True
1,2024-04-09,6,9,2,0,True,True
1,2024-04-09,6,10,1,0,True,True
1,2024-04-09,6,11,1,0,True,True
1,2024-04-09,6,12,0,0,True,False
1,2024-04-09,6,13,1,0,True,True
1,2024-04-09,6,14,0,0,True,False
1,2024-04-09,6,15,0,0,True,False
1,2024-04-09,6,16,1,0,True,True
1,2024-04-09,7,1,10,0,True,True
1,2024-04-09,7,2,1,0,True,True
1,2024-04-09,7,3,3,0,True,True
1,2024-04-09,7,4,1,0,True,True
1,2024-04-09,7,5,11,0,True,True
1,2024-04-09,7,6,1,0,True,True
1,2024-04-09,7,7,0,0,True,False
1,2024-04-09,7,8,0,0,True,False
1,2024-04-09,7,9,1,0,True,True
1,2024-04-09,7,10,2,0,True,True
1,2024-04-09,7,11,1,0,True,True
1,2024-04-09,7,12,9,0,True,True
1,2024-04-09,7,13,1,0,True,True
1,2024-04-09,7,14,1,0,True,True
1,2024-04-09,7,15,18,0,True,True
1,2024-04-09,7,16,3,0,True,True
1,2024-04-09,8,1,2,0,True,True
1,2024-04-09,8,2,1,0,True,True
1,2024-04-09,8,3,1,0,True,True
1,2024-04-09,8,4,0,0,True,False
1,2024-04-09,8,5,0,0,True,False
1,2024-04-09,8,6,3,0,True,True
1,2024-04-09,8,7,0,0,True,False
1,2024-04-09,8,8,2,0,True,True
1,2024-04-09,8,9,3,0,True,True
1,2024-04-09,8,10,1,0,True,True
1,2024-04-09,8,11,2,0,True,True
1,2024-04-09,8,12,1,0,True,True
1,2024-04-09,8,13,1,0,True,True
1,2024-04-09,8,14,1,0,True,True
1,2024-04-09,8,15,0,0,True,False
1,2024-04-09,8,16,4,0,True,True
1,2024-04-09,9,1,0,0,True,False
1,2024-04-09,9,2,1,0,True,True
1,2024-04-09,9,3,0,0,True,False
1,2024-04-09,9,4,6,0,True,True
1,2024-04-09,9,5,0,0,True,False
1,2024-04-09,9,6,2,0,True,True
1,2024-04-09,9,7,3,0,True,True
1,2024-04-09,9,8,1,0,True,True
1,2024-04-09,9,9,0,0,True,False
1,2024-04-09,9,10,1,0,True,True
1,2024-04-09,9,11,0,0,True,False
1,2024-04-09,9,12,3,0,True,True
