id,date,well,Spikes_total,Bursts_total
1,2024-04-09,1,8.875,0.0625
1,2024-04-09,2,3.75,0.0
1,2024-04-09,3,4.8125,0.0625
1,2024-04-09,4,1.6875,0.0
1,2024-04-09,5,1.1875,0.0
1,2024-04-09,6,0.9375,0.0
1,2024-04-09,7,3.9375,0.0
1,2024-04-09,8,1.375,0.0
1,2024-04-09,9,1.9375,0.0
1,2024-04-09,10,1.4375,0.0
1,2024-04-09,11,1.8125,0.0
1,2024-04-09,12,1.375,0.0
1,2024-04-09,13,3.0625,0.0
1,2024-04-09,14,1.6875,0.0
1,2024-04-09,15,2.8125,0.0
1,2024-04-09,16,12.625,0.0625
1,2024-04-09,17,5.4375,0.125
1,2024-04-09,18,10.375,0.3125
1,2024-04-09,19,1.25,0.0
1,2024-04-09,20,1.8125,0.0
1,2024-04-09,21,1.5625,0.0
1,2024-04-09,22,26.375,1.375
1,2024-04-09,23,5.375,0.0
1,2024-04-09,24,9.0625,0.0
2,2024-04-10,1,3.9375,0.0625
2,2024-04-10,2,2.6875,0.0
2,2024-04-10,3,2.4375,0.0
2,2024-04-10,4,2.0,0.0
2,2024-04-10,5,1.75,0.0
2,2024-04-10,6,1.125,0.0
2,2024-04-10,7,4.3125,0.0
2,2024-04-10,8,1.375,0.0
2,2024-04-10,9,1.875,0.0
2,2024-04-10,10,1.75,0.0
2,2024-04-10,11,1.125,0.0
2,2024-04-10,12,1.5,0.0
2,2024-04-10,13,2.0625,0.0
2,2024-04-10,14,1.0625,0.0
2,2024-04-10,15,6.125,0.0
2,2024-04-10,16,5.6875,0.0
2,2024-04-10,17,4.3125,0.0
2,2024-04-10,18,12.25,0.0625
2,2024-04-10,19,1.5,0.0
2,2024-04-10,20,1.3125,0.0
2,2024-04-10,21,1.4375,0.0
2,2024-04-10,22,23.0625,0.0
2,2024-04-10,23,24.25,0.0
2,2024-04-10,24,8.5,0.0
3,2024-04-11,1,5.1875,0.0
3,2024-04-11,2,9.0625,0.0625
3,2024-04-11,3,3.5,0.0
3,2024-04-11,4,0.875,0.0
3,2024-04-11,5,1.4375,0.0
3,2024-04-11,6,1.375,0.0
3,2024-04-11,7,7.0,0.125
3,2024-04-11,8,1.5625,0.0
3,2024-04-11,9,1.3125,0.0
3,2024-04-11,10,1.25,0.0
3,2024-04-11,11,1.25,0.0
3,2024-04-11,12,0.875,0.0
3,2024-04-11,13,2.3125,0.0
3,2024-04-11,14,8.25,0.0
3,2024-04-11,15,1.375,0.0
3,2024-04-11,16,4.0,0.0
3,2024-04-11,17,26.625,1.75
3,2024-04-11,18,22.75,0.0
3,2024-04-11,19,2.875,0.0
3,2024-04-11,20,1.25,0.0
3,2024-04-11,21,0.6875,0.0
3,2024-04-11,22,31.3125,0.6875
3,2024-04-11,23,15.6875,0.0
3,2024-04-11,24,14.8125,0.75
4,2024-04-12,1,8.0625,0.5625
4,2024-04-12,2,5.5,0.0
4,2024-04-12,3,1.0625,0.0
4,2024-04-12,4,1.0625,0.0
4,2024-04-12,5,1.125,0.0
4,2024-04-12,6,1.4375,0.0
4,2024-04-12,7,7.3125,0.125
4,2024-04-12,8,1.5625,0.0
4,2024-04-12,9,1.875,0.0
4,2024-04-12,10,1.1875,0.0
4,2024-04-12,11,1.25,0.0
4,2024-04-12,12,1.5,0.0
4,2024-04-12,13,2.125,0.0
4,2024-04-12,14,3.6875,0.0
4,2024-04-12,15,1.0,0.0
4,2024-04-12,16,19.0625,0.0
4,2024-04-12,17,16.75,0.0625
4,2024-04-12,18,38.0,0.125
4,2024-04-12,19,1.75,0.0
4,2024-04-12,20,1.0625,0.0
4,2024-04-12,21,1.3125,0.0
4,2024-04-12,22,16.625,0.0
4,2024-04-12,23,23.0,0.0
4,2024-04-12,24,14.8125,0.0
5,2024-04-15,1,10.4375,0.1875
5,2024-04-15,2,2.375,0.0
5,2024-04-15,3,5.75,0.0
5,2024-04-15,4,2.1875,0.0
5,2024-04-15,5,2.0,0.0
