Dag,Well,Actieve electrodes ratio,Nummer actieve electrodes,Gem. Spikes per well,Bursts per well,Network bursts per well,Gem. Spike amplitude,SCA1
0211,1,0,,,,0,,54
0211,2,0,,,,0,,54
0211,3,0.0625,,169,0,0,9.260227483079551e-06,CG
0211,4,0,,,,0,,CG
0211,5,0.25,,102.5,0.5,0,1.0481733065863668e-05,46
0211,6,0.25,,429,0,0,1.6489396549920143e-05,46
0211,7,0.1875,,165.33333333333334,3.3333333333333335,0,1.0259480019011718e-05,CG
0211,8,0.0625,,509,15,0,8.008407445368213e-06,CG
0211,9,0,,,,0,,54
0211,10,0.0625,,111,9,0,8.48300888959985e-06,54
0211,11,0,,,,0,,CG
0211,12,0.0625,,35,0,0,7.049372548508904e-06,CG
0211,13,0.1875,,208.66666666666666,2,0,1.2966532400574193e-05,46
0211,14,0.375,,552.5,40.833333333333336,0,9.67608171379305e-06,46
0211,15,0.1875,,181.33333333333334,5,0,6.438817129471101e-06,CG
0211,16,0,,,,0,,CG
0211,17,0.0625,,25,0,0,5.710677138044685e-06,54
0211,18,0.125,,532.5,13,0,8.067083632878932e-06,54
0211,19,0.125,,50.5,0,0,7.21650591402525e-06,CG
0211,20,0.1875,,140,2.3333333333333335,0,8.812633145439299e-06,CG
0211,21,0.375,,225.83333333333334,9.833333333333334,0,9.444519477684462e-06,46
0211,22,0.1875,,42,0,0,9.953262295406936e-06,46
0211,23,0.25,,395.5,13.75,0,1.182624294136227e-05,CG
0211,24,0.125,,86,0,0,8.062013895836665e-06,CG
0211,25,0,,,,0,,54
0211,26,0.0625,,85,1,0,7.009823686664885e-06,54
0211,27,0,,,,0,,CG
0211,28,0,,,,0,,CG
0211,29,0.125,,283.5,4.5,0,7.332569749765793e-06,46
0211,30,0.3125,,86.4,0,0,7.462373324780761e-06,46
0211,31,0.25,,643,25.5,0,9.597744138191296e-06,CG
0211,32,0.0625,,102,1,0,6.14264159072776e-06,CG
0211,33,0,,,,0,,54
0211,34,0.0625,,234,20,0,7.2898086018436315e-06,54
0211,35,0.125,,653,25,0,1.0772385733632101e-05,CG
0211,36,0.0625,,339,8,0,8.660978025259095e-06,CG
0211,37,0.4375,,315.85714285714283,10.857142857142858,0,1.215071954096725e-05,46
0211,38,0.25,,155,0.5,0,8.657282915990423e-06,46
0211,39,0.125,,1209,63.5,0,1.3233007066275269e-05,CG
0211,40,0.125,,126.5,0,0,6.783136608712067e-06,CG
0211,41,0,,,,0,,54
0211,42,0.1875,,215,8,0,7.757203657784144e-06,54
0211,43,0.0625,,194,2,0,8.344710274268942e-06,CG
0211,44,0.125,,606.5,25.5,0,1.1025853751120439e-05,CG
0211,45,0.1875,,418.3333333333333,35,0,8.471140025588701e-06,46
0211,46,0.1875,,506,1,0,7.271073325724869e-06,46
0211,47,0.0625,,175,12,0,6.839790820667363e-06,CG
0211,48,0.3125,,113,3.8,0,7.019888753294112e-06,CG
0224,1,0.0625,,813,47,0,9.817065143812636e-06,54
0224,2,0.125,,128.5,3,0,9.45112752349565e-06,54
0224,3,0.0625,,838,0,0,1.5268945813995893e-05,CG
0224,4,0.0625,,208,0,0,9.229677655850485e-06,CG
0224,5,0.25,,191.5,7.25,0,1.0611519957993532e-05,46
0224,6,0.3125,,601.6,4.6,0,1.2879991857658814e-05,46
0224,7,0.125,,153.5,3,0,7.766174256925987e-06,CG
0224,8,0.125,,674,0,0,1.0733617785456413e-05,CG
0224,9,0.1875,,957.6666666666666,57,0,8.26757451746734e-06,54
0224,10,0.125,,750,47,0,9.127922308487453e-06,54
0224,11,0.125,,55,0,0,6.481846237798062e-06,CG
0224,12,0.0625,,67,0,0,6.9164101442544495e-06,CG
0224,13,0.375,,647.6666666666666,43,0,1.258787318841475e-05,46
0224,14,0.5,,219.75,0.75,0,1.1411142782865622e-05,46
0224,15,0.125,,1290.5,26,0,1.0071057236358174e-05,CG
0224,16,0.125,,367,25,0,6.9525826550643334e-06,CG
0224,17,0,,,,0,,54
0224,18,0,,,,0,,54
0224,19,0.125,,712.5,3,0,1.2170336442992186e-05,CG
0224,20,0.0625,,880,44,0,1.1199099864081877e-05,CG
0224,21,0.125,,1866,95,0,1.3354306262946174e-05,46
0224,22,0.25,,403.25,14.25,0,1.295675692905302e-05,46
0224,23,0.1875,,539.6666666666666,37.333333333333336,0,6.9964751086741025e-06,CG
0224,24,0.0625,,197,3,0,7.881964997086248e-06,CG
0224,25,0.125,,38,0,0,6.596348609538337e-06,54
0224,26,0.125,,938.5,57,0,8.560163778060578e-06,54
0224,27,0.0625,,689,28,0,7.896370932109168e-06,CG
0224,28,0,,,,0,,CG
0224,29,0.3125,,349.8,0.6,0,8.758856152912782e-06,46
0224,30,0.25,,665.5,0,0,9.410240982490695e-06,46
0224,31,0.3125,,603.4,31,0,8.03664526391861e-06,CG
0224,32,0.1875,,55.333333333333336,0,0,7.49549053168957e-06,CG
0224,33,0.0625,,23,0,0,5.517523554105522e-06,54
0224,34,0.125,,337.5,13.5,0,7.549291753276794e-06,54
0224,35,0.0625,,35,0,0,8.38412710943891e-06,CG
0224,36,0,,,,0,,CG
0224,37,0.25,,95.75,3.75,0,1.122474840358285e-05,46
0224,38,0.1875,,476.6666666666667,18,0,1.4362465770880368e-05,46
0224,39,0.125,,718,15,0,8.817049778772335e-06,CG
0224,40,0,,,,0,,CG
0224,41,0,,,,0,,54
