well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
1,1,17.536585365853657,2.0,64.46632607878605,0.0,390.0,719,0.9024390243902439,41
1,2,184.0,4.0,400.79895817984453,0.0,1704.0,7544,0.9512195121951219,41
1,3,36.41463414634146,3.0,201.47988771015187,0.0,1310.0,1493,0.8780487804878049,41
1,4,4.146341463414634,2.0,8.893848177004026,0.0,43.0,170,0.8536585365853658,41
1,5,2.658536585365854,2.0,3.5791384444806087,0.0,23.0,109,0.8536585365853658,41
1,6,394.9024390243902,6.0,551.8209680011792,0.0,1777.0,16191,0.926829268292683,41
1,7,2.4390243902439024,2.0,1.6086470680820633,0.0,7.0,100,0.9024390243902439,41
1,8,4.097560975609756,2.0,6.373745225336631,0.0,29.0,168,0.8780487804878049,41
1,9,3.1707317073170733,2.0,4.299191296751962,0.0,25.0,130,0.8780487804878049,41
1,10,3.073170731707317,2.0,3.36691393692437,0.0,17.0,126,0.8780487804878049,41
1,11,2.3658536585365852,2.0,1.6639080878839552,0.0,7.0,97,0.9024390243902439,41
1,12,2.4634146341463414,2.0,3.3720339159797232,0.0,22.0,101,0.8292682926829268,41
1,13,4.024390243902439,2.0,10.239778496265814,0.0,68.0,165,0.9024390243902439,41
1,14,81.58536585365853,2.0,240.61800265249462,0.0,1122.0,3345,0.8292682926829268,41
1,15,2.048780487804878,2.0,1.4133720189707726,0.0,5.0,84,0.8292682926829268,41
1,16,1.8780487804878048,2.0,1.3102805871769065,0.0,5.0,77,0.8048780487804879,41
2,1,1.951219512195122,1.0,1.5919189143493384,0.0,6.0,80,0.8048780487804879,41
2,2,2.268292682926829,2.0,2.208899850260995,0.0,12.0,93,0.7804878048780488,41
2,3,37.707317073170735,2.0,215.62006376420527,0.0,1401.0,1546,0.8780487804878049,41
2,4,2.3902439024390243,2.0,1.6802736243560816,0.0,6.0,98,0.8780487804878049,41
2,5,19.48780487804878,3.0,58.262284144358986,0.0,269.0,799,0.9024390243902439,41
2,6,8.097560975609756,2.0,22.87058487638096,0.0,112.0,332,0.926829268292683,41
2,7,25.121951219512194,3.0,68.70161538980253,0.0,406.0,1030,0.8780487804878049,41
