well,electrode,n_measurements,spikes_n_nonzero,spikes_fraction_zero,spikes_total,spikes_mean,spikes_median,spikes_std,spikes_min,spikes_max
1,1,41,37,0.0975609756097561,719.0,17.536585365853657,2.0,65.26718071166226,1.0,390.0
1,2,41,39,0.04878048780487805,7544.0,184.0,4.0,405.7780181330674,1.0,1704.0
1,3,41,36,0.12195121951219512,1493.0,36.41463414634146,3.0,203.98283942647672,1.0,1310.0
1,4,41,35,0.14634146341463414,170.0,4.146341463414634,2.0,9.004334999348247,1.0,43.0
1,5,41,35,0.14634146341463414,109.0,2.658536585365854,2.0,3.623601496422868,1.0,23.0
1,6,41,38,0.07317073170731707,16191.0,394.9024390243902,6.0,558.6761497002556,1.0,1777.0
1,7,41,37,0.0975609756097561,100.0,2.4390243902439024,2.0,1.6286310277009473,1.0,7.0
1,8,41,36,0.12195121951219512,168.0,4.097560975609756,2.0,6.452925220583222,1.0,29.0
1,9,41,36,0.12195121951219512,130.0,3.1707317073170733,2.0,4.352599447596748,1.0,25.0
1,10,41,36,0.12195121951219512,126.0,3.073170731707317,2.0,3.4087405584939945,1.0,17.0
1,11,41,37,0.0975609756097561,97.0,2.3658536585365852,2.0,1.6845785461202991,1.0,7.0
1,12,41,34,0.17073170731707318,101.0,2.4634146341463414,2.0,3.413924142212373,1.0,22.0
1,13,41,37,0.0975609756097561,165.0,4.024390243902439,2.0,10.366985590995217,1.0,68.0
1,14,41,34,0.17073170731707318,3345.0,81.58536585365853,2.0,243.60716077424286,1.0,1122.0
1,15,41,34,0.17073170731707318,84.0,2.048780487804878,2.0,1.4309301085691628,1.0,5.0
1,16,41,33,0.1951219512195122,77.0,1.8780487804878048,2.0,1.3265579887667842,1.0,5.0
2,1,41,33,0.1951219512195122,80.0,1.951219512195122,1.0,1.6116950628483528,1.0,6.0
2,2,41,32,0.21951219512195122,93.0,2.268292682926829,2.0,2.2363406520910725,1.0,12.0
2,3,41,36,0.12195121951219512,1546.0,37.707317073170735,2.0,218.29867657666168,1.0,1401.0
2,4,41,36,0.12195121951219512,98.0,2.3902439024390243,2.0,1.701147388977331,1.0,6.0
2,5,41,37,0.0975609756097561,799.0,19.48780487804878,3.0,58.986066978236266,1.0,269.0
2,6,41,38,0.07317073170731707,332.0,8.097560975609756,2.0,23.154702414465167,1.0,112.0
