well,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,4,11,77,112,149,35,33,50,174,454,50,98,55,1361,1053,615,798,1141,1101,846,1745,493,69,314,293,812,1409,1540,1125,1811,1367,1351,842,1691,1128,1082,1046,1023,1153,1031,1077
2,2,10,128,160,45,80,289,41,42,35,50,42,126,35,40,53,35,69,74,293,73,322,502,365,179,62,55,39,52,62,30,78,168,199,90,70,1471,79,593,212,264
3,6,1,37,46,45,52,109,33,525,623,225,167,372,670,769,914,951,622,181,871,1536,1528,2537,1693,868,1034,689,645,1043,1198,1800,920,187,1004,1480,1393,1632,528,1674,877,1242
4,5,3,262,39,32,69,86,106,132,51,35,82,48,307,521,791,1553,1072,492,238,558,234,533,454,29,37,24,44,50,132,443,396,43,248,254,592,314,657,1058,1275,814
5,44,110,1135,1205,1321,522,490,570,482,484,443,357,641,251,417,395,440,1044,523,800,1658,1486,992,2337,3859,3185,4556,5618,7232,5061,3613,1627,1616,7052,5387,3868,4399,3321,3240,2008,127
6,10,89,610,414,448,163,299,45,1094,366,1743,395,810,627,795,2226,1837,1161,1605,3038,481,410,2857,947,504,4053,3236,2228,2160,2076,5107,5064,3606,6330,11590,11359,8914,5227,3584,2206,3997
7,2,66,493,108,292,191,73,36,440,293,548,481,287,1062,2205,1618,1694,1609,1449,363,1542,353,645,130,35,422,381,150,80,225,88,115,715,571,36,1433,445,2160,1669,4421,1368
8,12,5,38,30,51,34,44,36,36,33,547,437,140,835,674,1351,1358,705,1741,1399,1519,2152,2503,1480,2381,2586,1969,1484,2056,2665,2203,1767,1924,2655,3408,2810,3476,3382,1683,1637,1597
9,7,4,52,33,28,133,316,40,46,34,33,36,37,87,744,1009,1818,1046,2396,2908,879,2777,2607,499,318,159,84,450,55,199,51,49,35,35,44,40,35,54,46,33,31
10,2,6,22,47,132,126,38,195,443,84,145,59,356,219,1366,1312,1870,1940,2111,1536,2089,1349,809,161,998,673,974,698,3959,3939,4821,4160,513,1042,1550,1567,1784,989,813,555,886
11,1,8,256,89,48,245,232,397,505,878,33,41,33,33,42,103,686,1120,949,147,183,269,149,365,291,225,140,120,371,369,432,527,34,781,708,1046,855,747,1114,1268,1670
12,5,8,120,150,70,356,443,402,188,451,70,266,211,796,272,132,546,162,139,101,106,208,377,217,898,2030,2095,2156,2532,1728,2200,3856,1900,4546,4292,5081,4069,3996,3395,3849,5163
13,7,8,259,283,173,547,1052,947,1508,2169,683,340,841,1626,3299,2547,3152,2147,3386,3927,1983,2130,3511,7965,8085,5717,5340,5383,8596,14072,12626,13931,3276,7971,5540,5349,8074,5608,6173,4734,5275
14,37,152,1785,1209,991,1456,1546,1231,2255,1498,3343,1690,2329,3557,2190,1507,2105,4364,2685,1796,2621,4151,7096,7763,9550,9202,9548,14070,16093,12148,14936,18111,9879,19182,14766,14835,15846,14683,15021,15431,18804
