id,date,well,n_electrodes_inactive,n_electrodes_present,n_electrodes_total,fraction_inactive_in_well
1,2025-01-27,1,13,16,16,0.8125
1,2025-01-27,2,14,16,16,0.875
1,2025-01-27,3,12,16,16,0.75
1,2025-01-27,4,11,16,16,0.6875
1,2025-01-27,5,13,16,16,0.8125
1,2025-01-27,6,13,16,16,0.8125
1,2025-01-27,7,14,16,16,0.875
1,2025-01-27,8,7,16,16,0.4375
1,2025-01-27,9,9,16,16,0.5625
1,2025-01-27,10,14,16,16,0.875
1,2025-01-27,11,15,16,16,0.9375
1,2025-01-27,12,12,16,16,0.75
1,2025-01-27,13,10,16,16,0.625
1,2025-01-27,14,8,16,16,0.5
1,2025-01-27,15,15,16,16,0.9375
1,2025-01-27,16,8,16,16,0.5
1,2025-01-27,17,16,16,16,1.0
1,2025-01-27,18,15,16,16,0.9375
1,2025-01-27,19,10,16,16,0.625
1,2025-01-27,20,10,16,16,0.625
1,2025-01-27,21,12,16,16,0.75
1,2025-01-27,22,15,16,16,0.9375
1,2025-01-27,23,12,16,16,0.75
1,2025-01-27,24,10,16,16,0.625
1,2025-01-27,25,15,16,16,0.9375
1,2025-01-27,26,13,16,16,0.8125
1,2025-01-27,27,15,16,16,0.9375
1,2025-01-27,28,13,16,16,0.8125
1,2025-01-27,29,11,16,16,0.6875
1,2025-01-27,30,14,16,16,0.875
1,2025-01-27,31,13,16,16,0.8125
1,2025-01-27,32,15,16,16,0.9375
1,2025-01-27,33,16,16,16,1.0
1,2025-01-27,34,16,16,16,1.0
1,2025-01-27,35,16,16,16,1.0
1,2025-01-27,36,11,16,16,0.6875
1,2025-01-27,37,13,16,16,0.8125
1,2025-01-27,38,13,16,16,0.8125
1,2025-01-27,39,15,16,16,0.9375
1,2025-01-27,40,14,16,16,0.875
1,2025-01-27,41,13,16,16,0.8125
1,2025-01-27,42,13,16,16,0.8125
1,2025-01-27,43,14,16,16,0.875
1,2025-01-27,44,15,16,16,0.9375
1,2025-01-27,45,11,16,16,0.6875
1,2025-01-27,46,12,16,16,0.75
1,2025-01-27,47,13,16,16,0.8125
1,2025-01-27,48,14,16,16,0.875
2,2025-01-28,1,12,16,16,0.75
2,2025-01-28,2,10,16,16,0.625
2,2025-01-28,3,15,16,16,0.9375
2,2025-01-28,4,13,16,16,0.8125
2,2025-01-28,5,11,16,16,0.6875
2,2025-01-28,6,12,16,16,0.75
2,2025-01-28,7,12,16,16,0.75
2,2025-01-28,8,12,16,16,0.75
2,2025-01-28,9,12,16,16,0.75
2,2025-01-28,10,11,16,16,0.6875
2,2025-01-28,11,12,16,16,0.75
2,2025-01-28,12,10,16,16,0.625
2,2025-01-28,13,11,16,16,0.6875
2,2025-01-28,14,6,16,16,0.375
2,2025-01-28,15,8,16,16,0.5
2,2025-01-28,16,14,16,16,0.875
2,2025-01-28,17,13,16,16,0.8125
2,2025-01-28,18,13,16,16,0.8125
2,2025-01-28,19,8,16,16,0.5
2,2025-01-28,20,7,16,16,0.4375
2,2025-01-28,21,11,16,16,0.6875
2,2025-01-28,22,8,16,16,0.5
