well,electrode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,1,1,1,3,5,6,0,4,3,140,390,3,1,1,1,1,1,4,2,0,3,5,4,0,0,2,3,2,2,2,1,3,1,2,5,1,2,105,2,2,1,4
1,2,0,1,3,4,3,2,1,3,3,4,4,39,4,15,999,515,737,1118,1076,813,1704,440,4,5,2,4,3,1,2,2,4,3,0,2,4,2,3,3,3,4,5
1,3,0,0,29,1,3,2,5,1,4,1,4,1,9,1310,1,22,2,2,3,3,3,3,2,3,0,5,3,3,27,2,4,0,3,2,1,0,6,15,3,3,2
1,4,0,0,0,43,43,1,3,3,3,0,0,2,3,3,1,4,3,0,2,3,3,3,6,2,4,2,2,3,2,1,2,2,2,4,2,1,3,1,2,3,3
1,5,0,0,1,3,3,2,0,23,1,6,3,1,2,0,1,1,4,3,0,1,4,1,4,3,5,0,1,2,3,3,3,6,2,2,4,2,1,3,1,3,1
1,6,0,0,23,28,77,1,2,6,1,2,4,3,2,4,5,1,2,0,1,3,8,3,3,5,6,12,249,697,1048,1777,1335,1320,802,1582,1086,1049,907,975,1134,990,1038
1,7,0,0,1,1,0,3,3,1,3,2,2,3,4,5,4,2,1,1,1,0,2,4,1,7,4,2,2,2,3,3,1,3,5,2,3,4,4,1,1,4,5
1,8,0,1,2,2,1,4,0,0,1,23,4,2,6,1,29,25,5,4,2,1,2,2,4,2,1,6,8,0,5,3,1,2,0,2,2,6,2,2,1,2,2
1,9,1,8,1,4,2,2,1,1,2,8,10,25,11,5,3,2,2,1,2,3,1,2,2,6,0,2,4,3,2,0,1,0,0,3,2,1,1,3,2,0,1
1,10,0,0,2,2,2,0,5,1,0,4,6,5,1,3,1,1,3,1,2,2,2,17,6,3,2,4,3,3,14,2,3,2,9,0,3,2,3,1,1,2,3
1,11,0,0,2,5,2,2,1,2,4,2,2,1,3,2,2,3,6,3,4,2,0,0,1,2,1,2,2,1,2,4,1,1,3,6,4,2,4,4,1,7,1
1,12,2,0,0,3,0,3,2,2,2,0,3,0,4,2,1,22,2,0,4,2,6,2,1,0,2,2,1,1,3,1,1,2,4,4,3,3,2,3,1,3,2
1,13,0,0,4,5,3,3,2,0,4,5,2,4,2,3,1,6,2,1,1,1,1,2,1,3,2,2,4,3,2,5,1,3,5,68,1,1,3,3,0,1,5
1,14,0,0,3,3,1,2,0,0,3,0,1,4,1,2,1,4,21,0,1,2,1,6,29,271,258,764,1122,814,3,1,4,5,1,3,4,0,1,1,1,4,3
1,15,0,0,2,1,0,4,2,4,1,4,1,3,2,4,2,3,3,2,1,4,0,1,2,0,3,1,3,3,3,3,1,1,2,4,5,2,1,4,0,2,0
1,16,0,0,1,2,3,4,2,0,2,3,1,4,0,1,1,3,1,3,1,3,3,3,3,2,1,1,0,2,4,3,2,0,2,2,3,5,0,2,0,2,2
2,1,1,0,3,3,3,2,1,1,1,1,2,1,1,4,1,0,4,5,0,3,3,0,1,3,6,1,3,4,2,3,0,2,0,0,5,3,4,1,0,1,1
2,2,0,0,4,2,0,3,3,4,5,3,4,3,2,2,12,0,3,0,3,2,1,2,7,0,2,1,1,1,1,3,4,0,0,1,1,0,3,3,3,2,2
