well,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,0,0,0,2,0,0,0,2,1,7,0,1,0,0,45,14,0,30,55,47,23,21,0,6,5,46,37,56,25,37,37,29,18,54,18,16,24,23,28,27,27
2,0,0,1,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,28,0,4,0,0,0,0,0,0,0,0,7,0,0,38,0,18,6,7
3,0,0,0,0,0,0,0,0,23,0,0,0,0,10,20,0,27,24,0,0,0,2,89,42,42,45,0,24,13,39,59,41,1,24,54,55,61,9,127,40,5
4,0,0,11,0,0,0,3,0,9,0,0,3,0,18,24,41,0,64,0,0,0,0,0,21,0,0,0,0,0,0,10,1,0,5,8,20,12,22,50,50,16
5,2,4,38,59,55,4,20,21,6,4,2,35,62,0,0,1,1,47,0,29,51,14,1,53,30,155,108,211,228,296,154,6,26,262,181,174,170,110,45,94,0
6,0,4,46,13,34,0,0,0,51,0,0,0,0,0,0,20,27,10,35,23,0,3,194,42,0,167,97,34,7,74,97,87,71,326,694,697,367,191,225,29,0
7,0,4,10,0,0,0,0,0,30,0,10,17,7,1,93,63,104,105,88,6,54,1,25,0,0,34,0,0,0,0,0,0,53,2,0,70,14,82,85,176,0
8,0,0,0,0,0,0,0,0,0,0,15,0,0,40,21,42,38,0,3,0,52,116,15,0,88,109,0,0,140,33,38,0,43,180,103,110,202,118,1,0,18
9,0,0,0,0,0,0,17,0,0,0,0,0,0,0,33,28,60,17,173,171,39,0,140,24,28,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,27,1,9,0,15,0,0,55,96,95,84,94,104,32,33,0,40,22,31,32,54,133,271,167,20,24,32,23,43,23,21,17,23
11,0,0,1,0,0,0,0,24,13,71,0,0,0,0,0,1,0,0,39,0,3,2,0,5,3,0,0,0,11,6,5,14,0,31,23,39,47,39,69,63,99
12,0,0,1,11,0,14,5,5,0,21,0,15,2,35,5,0,40,1,0,0,0,0,4,1,41,94,68,93,72,68,70,93,60,88,89,135,106,102,123,88,56
13,0,0,0,0,0,27,63,53,49,9,6,1,17,35,46,83,90,61,103,258,121,117,141,278,257,224,229,230,472,452,662,373,94,130,27,221,187,39,53,17,84
14,0,4,49,13,33,75,72,15,82,26,245,13,45,138,26,17,20,230,101,6,44,233,426,315,306,463,251,613,996,494,771,841,622,953,589,394,249,845,798,909,920
15,0,3,10,0,15,0,0,25,24,13,15,2,36,76,44,23,90,82,136,52,122,216,81,143,63,51,3,0,79,18,11,70,0,0,0,0,0,0,0,0,0
