id,date,well,Spikes_total,Bursts_total
1,2025-01-27,1,0.25,0.0
1,2025-01-27,2,0.125,0.0
1,2025-01-27,3,0.375,0.0
1,2025-01-27,4,0.3125,0.0
1,2025-01-27,5,2.75,0.125
1,2025-01-27,6,0.625,0.0
1,2025-01-27,7,0.125,0.0
1,2025-01-27,8,0.75,0.0
1,2025-01-27,9,0.4375,0.0
1,2025-01-27,10,0.125,0.0
1,2025-01-27,11,0.0625,0.0
1,2025-01-27,12,0.3125,0.0
1,2025-01-27,13,0.4375,0.0
1,2025-01-27,14,2.3125,0.0
1,2025-01-27,15,0.1875,0.0
1,2025-01-27,16,0.625,0.0
1,2025-01-27,17,0.0,0.0
1,2025-01-27,18,0.0625,0.0
1,2025-01-27,19,0.375,0.0
1,2025-01-27,20,0.375,0.0
1,2025-01-27,21,0.3125,0.0
1,2025-01-27,22,0.125,0.0
1,2025-01-27,23,0.6875,0.0
1,2025-01-27,24,0.4375,0.0
1,2025-01-27,25,0.0625,0.0
1,2025-01-27,26,0.1875,0.0
1,2025-01-27,27,0.0625,0.0
1,2025-01-27,28,0.1875,0.0
1,2025-01-27,29,0.4375,0.0
1,2025-01-27,30,0.125,0.0
1,2025-01-27,31,0.3125,0.0
1,2025-01-27,32,0.0625,0.0
1,2025-01-27,33,0.0,0.0
1,2025-01-27,34,0.0,0.0
1,2025-01-27,35,0.0,0.0
1,2025-01-27,36,0.4375,0.0
1,2025-01-27,37,0.3125,0.0
1,2025-01-27,38,0.25,0.0
1,2025-01-27,39,0.0625,0.0
1,2025-01-27,40,0.125,0.0
1,2025-01-27,41,0.1875,0.0
1,2025-01-27,42,0.1875,0.0
1,2025-01-27,43,0.125,0.0
1,2025-01-27,44,0.0625,0.0
1,2025-01-27,45,0.3125,0.0
1,2025-01-27,46,0.25,0.0
1,2025-01-27,47,0.1875,0.0
1,2025-01-27,48,0.125,0.0
2,2025-01-28,1,0.6875,0.0
2,2025-01-28,2,0.625,0.0
2,2025-01-28,3,0.0625,0.0
2,2025-01-28,4,0.1875,0.0
2,2025-01-28,5,6.875,0.25
2,2025-01-28,6,5.5625,0.25
2,2025-01-28,7,4.125,0.25
2,2025-01-28,8,0.3125,0.0
2,2025-01-28,9,0.25,0.0
2,2025-01-28,10,0.375,0.0
2,2025-01-28,11,0.5,0.0
2,2025-01-28,12,0.5,0.0
2,2025-01-28,13,0.5,0.0
